Category	Term	Pathway	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
COG	COG	Transcription	13	7.514450867	0.006204775	"PA4157, PA0272, PA2879, PA0533, PA0797, PA3778, PA0479, PA1422, PA2259, PA4185, PA3006, PA1201, PA1264"	43	174	1308	2.27265437	0.100404252	0.099276407	0.099276407
COG	COG	"Secondary metabolites biosynthesis, transport, and catabolism"	4	2.312138728	0.086150881	"PA2857, PA3679, PA0543, PA2475"	43	33	1308	3.687103594	0.78379464	0.689207049	0.689207049
GO	GO:0006355	"regulation of transcription, DNA-templated"	16	9.248554913	0.012566935	"PA0272, PA4600, PA0528, PA1309, PA1826, PA2879, PA0533, PA3932, PA3778, PA0479, PA1422, PA2665, PA3006, PA2115, PA1264, PA2376"	98	247	2974	1.965793605	0.806804692	1	1
GO	GO:0044718	siderophore transmembrane transport	3	1.734104046	0.047811144	"PA1922, PA2688, PA0781"	98	11	2974	8.276437848	0.998286034	1	1
GO	GO:0031230	intrinsic component of cell outer membrane	3	1.734104046	0.046186656	"PA1922, PA2688, PA0781"	75	13	2744	8.443076923	0.721059458	1	1
GO	"GO:0003700	"	"transcription factor activity, sequence-specific DNA binding"	20	11.56069364	0.00409923	"PA4157, PA0272, PA5324, PA3571, PA4787, PA4600, PA0528, PA1309, PA1826, PA2879, PA0797, PA2877, PA3778, PA0479, PA1422, PA4185, PA3006, PA2115, PA1201, PA1264"	126	294	3695	1.994924954	0.459979542	0.614884523	0.614884523
GO	GO:0005524	ATP binding	24	13.87283237	0.011526792	"PA5500, PA3384, PA2350, PA5336, PA4996, PA5118, PA5119, PA4978, PA4909, PA0903, PA0603, PA0956, PA2857, PA1438, PA0657, PA3019, PA3932, PA1400, PA2665, PA4670, PA1013, PA1795, PA0596, PA4442"	126	418	3695	1.683754842	0.824314726	0.864509419	0.864509419
GO	GO:0000976	transcription regulatory region sequence-specific DNA binding	10	5.780346821	0.079687723	"PA5324, PA1309, PA4787, PA4600, PA2879, PA0479, PA1422, PA2115, PA3006, PA1157"	126	156	3695	1.87983313	0.999996107	1	1
GO	GO:0015199	amino-acid betaine transmembrane transporter activity	2	1.156069364	0.098119559	"PA1541, PA4990"	126	3	3695	19.55026455	0.999999813	1	1
GO	GO:0015220	choline transmembrane transporter activity	2	1.156069364	0.098119559	"PA1541, PA4990"	126	3	3695	19.55026455	0.999999813	1	1
INTERPRO	IPR005119	"LysR, substrate-binding"	12	6.936416185	0.001021117	"PA0272, PA1826, PA0528, PA1309, PA2879, PA2877, PA3778, PA0479, PA1422, PA2115, PA1201, PA1264"	151	121	4934	3.240545126	0.29848201	0.189708511	0.189708511
INTERPRO	IPR000847	"Transcription regulator HTH, LysR"	12	6.936416185	0.001093421	"PA0272, PA1826, PA0528, PA1309, PA2879, PA2877, PA3778, PA0479, PA1422, PA2115, PA1201, PA1264"	151	122	4934	3.213983281	0.315881825	0.189708511	0.189708511
INTERPRO	IPR017871	"ABC transporter, conserved site"	7	4.046242775	0.032158515	"PA5500, PA3384, PA2350, PA0603, PA2857, PA3019, PA4909"	151	79	4934	2.895297175	0.99998814	1	1
INTERPRO	IPR003593	AAA+ ATPase domain	10	5.780346821	0.036711805	"PA5500, PA3384, PA2350, PA0603, PA2857, PA0657, PA3019, PA3932, PA2665, PA4909"	151	149	4934	2.192986355	0.999997691	1	1
INTERPRO	IPR003439	ABC transporter-like	7	4.046242775	0.052678124	"PA5500, PA3384, PA2350, PA0603, PA2857, PA3019, PA4909"	151	89	4934	2.569982886	0.999999993	1	1
INTERPRO	IPR009000	"Translation elongation/initiation factor/Ribosomal, beta-barrel"	3	1.734104046	0.057505617	"PA0903, PA3744, PA4442"	151	13	4934	7.540499236	0.999999999	1	1
INTERPRO	IPR014717	Translation elongation factor EF1B/ribosomal protein S6	2	1.156069364	0.059884331	"PA4935, PA5042"	151	2	4934	32.67549669	1	1	1
INTERPRO	IPR001128	Cytochrome P450	2	1.156069364	0.088476657	"PA3679, PA2475"	151	3	4934	21.78366446	1	1	1
