Category	Term	Pathway	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
COG	COG	Transcription	32	5.387205387	0.001766182	"PA1153, PA2082, PA4902, PA1859, PA1738, PA1759, PA1998, PA2885, PA0243, PA2246, PA3830, PA5179, PA5389, PA2692, PA2010, PA2591, PA0491, PA4436, PA0906, PA2957, PA1627, PA1526, PA0533, PA3921, PA1128, PA0133, PA0475, PA1223, PA1003, PA1201, PA2332, PA3321"	142	174	1308	1.694026226	0.041538453	0.040622177	0.040622177
GO	GO:0006351	"transcription, DNA-templated"	15	2.525252525	2.39E-04	"PA4269, PA2383, PA1859, PA1738, PA4270, PA3845, PA2877, PA1128, PA0784, PA0652, PA2534, PA4174, PA0056, PA3565, PA1201"	311	48	2974	2.988344051	0.074043894	0.076919258	0.076919258
GO	GO:0043200	response to amino acid	5	0.841750842	0.014611011	"PA5017, PA2082, PA4309, PA3965, PA2246"	311	10	2974	4.781350482	0.991256585	1	1
GO	GO:0045892	"negative regulation of transcription, DNA-templated"	11	1.851851852	0.054459361	"PA3385, PA2010, PA1714, PA1864, PA3249, PA3007, PA2885, PA0155, PA0906, PA4057, PA3574"	311	55	2974	1.912540193	0.999999985	1	1
GO	GO:0009896	positive regulation of catabolic process	3	0.505050505	0.056369308	"PA5389, PA1998, PA0133"	311	4	2974	7.172025723	0.999999992	1	1
GO	GO:0006598	polyamine catabolic process	4	0.673400673	0.058527961	"PA5522, PA2040, PA3356, PA0297"	311	9	2974	4.250089318	0.999999996	1	1
GO	GO:0019867	outer membrane	7	1.178451178	0.06764311	"PA0372, PA4710, PA4897, PA0291, PA1698, PA2783, PA2057"	271	30	2744	2.362607626	0.939286204	1	1
GO	GO:0003700	"transcription factor activity, sequence-specific DNA binding"	50	8.417508418	4.53E-04	"PA3571, PA4787, PA4902, PA1998, PA0547, PA0784, PA2885, PA3776, PA0780, PA3574, PA5389, PA0491, PA1627, PA2957, PA4094, PA2877, PA1864, PA3845, PA3689, PA3249, PA0652, PA2511, PA4174, PA2510, PA0056, PA0133, PA3565, PA1223, PA3321, PA2551, PA2383, PA0528, PA1859, PA1738, PA2469, PA3830, PA5179, PA2692, PA1285, PA2054, PA2010, PA4436, PA1526, PA1128, PA2534, PA0279, PA0155, PA1003, PA1201, PA2332"	388	294	3695	1.619591135	0.143258603	0.154584111	0.154584111
GO	GO:0043565	sequence-specific DNA binding	26	4.377104377	9.31E-04	"PA3571, PA2383, PA2082, PA1859, PA1738, PA0784, PA2665, PA2246, PA3830, PA0780, PA5389, PA3385, PA4436, PA4094, PA3845, PA2877, PA3965, PA1128, PA2534, PA0652, PA2511, PA4174, PA0056, PA3565, PA1201, PA2332"	388	125	3695	1.980824742	0.272053962	0.158690283	0.158690283
GO	GO:0000986	bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding	8	1.346801347	0.011818407	"PA3385, PA2054, PA0528, PA0491, PA1998, PA2469, PA3776, PA2510"	388	25	3695	3.04742268	0.982648575	1	1
