Category	Term	Pathway	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
COG	COG	Transcription	13	5.394190871	0.089994492	"PA3122, PA3067, PA0708, PA2758, PA2846, PA2879, PA2547, PA3721, PA1599, PA0133, PA1223, PA4288, PA3321"	61	174	1308	1.602035048	0.895994453	1	1
GO	GO:0006508	proteolysis	4	1.659751037	0.010185438	"PA3724, PA1871, PA0067, PA3047"	130	11	2974	8.318881119	0.831589975	0.886133116	0.886133116
GO	GO:0006099	tricarboxylic acid cycle	4	1.659751037	0.083088408	"PA1787, PA2634, PA1588, PA1376"	130	24	2974	3.812820513	0.999999721	1	1
GO	"GO:0006355	"	"regulation of transcription, DNA-templated"	22	9.128630705	0.001757515	"PA3122, PA5301, PA5511, PA5218, PA0708, PA0527, PA2758, PA2846, PA2879, PA2449, PA4280, PA0477, PA3721, PA1599, PA0133, PA1223, PA5344, PA4288, PA3563, PA3002, PA3321, PA5124"	130	247	2974	2.037620679	0.263669885	0.305807689	0.305807689
GO	GO:0004175	endopeptidase activity	3	1.244813278	0.025508215	"PA3724, PA1871, PA3047"	163	6	3695	11.33435583	0.992028867	1	1
GO	GO:0015299	solute:proton antiporter activity	3	1.244813278	0.025508215	"PA3739, PA1207, PA5529"	163	6	3695	11.33435583	0.992028867	1	1
GO	GO:0043565	sequence-specific DNA binding	13	5.394190871	0.007927499	"PA5301, PA5511, PA3571, PA4508, PA1619, PA2449, PA4094, PA2547, PA3965, PA0652, PA1599, PA5344, PA4288"	163	125	3695	2.357546012	0.774255081	0.776936618	0.776936618
GO	GO:0003700	"transcription factor activity, sequence-specific DNA binding"	23	9.543568465	0.008309483	"PA3122, PA3067, PA5301, PA3571, PA5218, PA0708, PA1619, PA0527, PA2758, PA2846, PA2879, PA4094, PA2547, PA0652, PA0477, PA3721, PA1599, PA0133, PA1223, PA5344, PA4288, PA3563, PA3321"	163	294	3695	1.773402613	0.789940649	0.776936618	0.776936618
GO	GO:0005524	ATP binding	25	10.37344398	0.097701201	"PA4565, PA5511, PA5436, PA4724, PA0009, PA4280, PA1438, PA2449, PA5050, PA1532, PA5152, PA4020, PA3138, PA5252, PA1376, PA2891, PA4158, PA4119, PA2812, PA2810, PA1425, PA1588, PA1068, PA3763, PA3002"	163	418	3695	1.35578419	0.999999996	1	1
INTERPRO	IPR005119	"LysR, substrate-binding"	12	4.979253112	0.015218149	"PA3122, PA5218, PA2846, PA2758, PA2879, PA2547, PA0477, PA0133, PA1223, PA0708, PA5344, PA3321"	215	121	4934	2.27591774	0.999122844	1	1
INTERPRO	IPR000847	"Transcription regulator HTH, LysR"	12	4.979253112	0.016108208	"PA3122, PA5218, PA2846, PA2758, PA2879, PA2547, PA0477, PA0133, PA1223, PA0708, PA5344, PA3321"	215	122	4934	2.257262676	0.999420801	1	1
INTERPRO	IPR020449	"Transcription regulator HTH, AraC- type"	5	2.074688797	0.031108575	"PA1619, PA3571, PA4094, PA1599, PA4288"	215	28	4934	4.098006645	0.999999498	1	1
INTERPRO	IPR025392	Domain of unknown function DUF4124	3	1.244813278	0.034042627	"PA4697, PA1765, PA5123"	215	7	4934	9.835215947	0.999999875	1	1
INTERPRO	IPR003313	"Transcription regulator HTH, AraC, arabinose-binding/dimerisation"	4	1.659751037	0.04057012	"PA1619, PA3571, PA1599, PA4288"	215	18	4934	5.099741602	0.999999994	1	1
INTERPRO	IPR006153	Cation/H+ exchanger	3	1.244813278	0.044112764	"PA3739, PA1207, PA5529"	215	8	4934	8.605813953	0.999999999	1	1
INTERPRO	IPR017200	Radical SAM coenzyme PQQ biosynthesis protein E/heme D1 biosynthesis NirJ	2	0.829875519	0.08487227	"PA1989, PA0511"	215	2	4934	22.94883721	1	1	1
INTERPRO	IPR010069	"Filamentous haemagglutinin, 20-residue x2 repeat"	2	0.829875519	0.08487227	"PA0041, PA2462"	215	2	4934	22.94883721	1	1	1
INTERPRO	IPR025157	Haemagluttinin repeat	2	0.829875519	0.08487227	"PA0041, PA2462"	215	2	4934	22.94883721	1	1	1
INTERPRO	IPR008619	Filamentous haemagglutinin repeat	2	0.829875519	0.08487227	"PA0041, PA2462"	215	2	4934	22.94883721	1	1	1
KEGG	pae02020	Two-component system	15	6.22406639	0.065486813	"PA5511, PA2051, PA0408, PA0119, PA2528, PA2548, PA1438, PA0885, PA5360, PA2810, PA0652, PA3930, PA1561, PA1342, PA5124"	79	235	2001	1.616751953	0.991842336	1	1
KEGG	pae00020	Citrate cycle (TCA cycle)	4	1.659751037	0.092864911	"PA5435, PA5436, PA1787, PA1588"	79	28	2001	3.618444846	0.999012108	1	1
